# This file is semicolon delimited
StanFunction; Arguments; ReturnType
neg_binomial_2_log_glm_lpmf; (array[] int y | matrix x, vector alpha, vector beta, real phi); real
neg_binomial_2_log_glm_lpmf; (array[] int y | row_vector x, real alpha, vector beta, real phi); real
neg_binomial_2_log_glm_lpmf; (array[] int y | row_vector x, vector alpha, vector beta, real phi); real
neg_binomial_2_log_glm_lpmf; (int y | matrix x, real alpha, vector beta, real phi); real
neg_binomial_2_log_glm_lpmf; (int y | matrix x, vector alpha, vector beta, real phi); real
neg_binomial_2_log_glm_lupmf; (array[] int y | matrix x, real alpha, vector beta, real phi); real
neg_binomial_2_log_glm_lupmf; (array[] int y | matrix x, vector alpha, vector beta, real phi); real
neg_binomial_2_log_glm_lupmf; (array[] int y | row_vector x, real alpha, vector beta, real phi); real
neg_binomial_2_log_glm_lupmf; (array[] int y | row_vector x, vector alpha, vector beta, real phi); real
neg_binomial_2_log_glm_lupmf; (int y | matrix x, real alpha, vector beta, real phi); real
neg_binomial_2_log_glm_lupmf; (int y | matrix x, vector alpha, vector beta, real phi); real
neg_binomial_2_log_lpmf; (ints n | reals eta, reals phi); real
neg_binomial_2_log_lupmf; (ints n | reals eta, reals phi); real
neg_binomial_2_log_rng; (reals eta, reals phi); R
neg_binomial_2_lpmf; (ints n | reals mu, reals phi); real
neg_binomial_2_lupmf; (ints n | reals mu, reals phi); real
neg_binomial_2_rng; (reals mu, reals phi); R
neg_binomial_cdf; (ints n, reals alpha, reals beta); real
neg_binomial_lccdf; (ints n | reals alpha, reals beta); real
neg_binomial_lcdf; (ints n | reals alpha, reals beta); real
neg_binomial_lpmf; (ints n | reals alpha, reals beta); real
neg_binomial_lupmf; (ints n | reals alpha, reals beta); real
neg_binomial_rng; (reals alpha, reals beta); R
negative_infinity; (); real
norm1; (array[] real x); real
norm1; (row_vector x); real
norm1; (vector x); real
norm2; (array[] real x); real
norm2; (row_vector x); real
norm2; (vector x); real
norm; (complex z); real
normal; ~; real
normal_cdf; (reals y, reals mu, reals sigma); real
normal_id_glm; ~; real
normal_id_glm_lpdf; (real y | matrix x, real alpha, vector beta, real sigma); real
normal_id_glm_lpdf; (real y | matrix x, real alpha, vector beta, vector sigma); real
normal_id_glm_lpdf; (real y | matrix x, vector alpha, vector beta, real sigma); real
normal_id_glm_lpdf; (real y | matrix x, vector alpha, vector beta, vector sigma); real
normal_id_glm_lpdf; (vector y | matrix x, real alpha, vector beta, real sigma); real
normal_id_glm_lpdf; (vector y | matrix x, real alpha, vector beta, vector sigma); real
normal_id_glm_lpdf; (vector y | matrix x, vector alpha, vector beta, real sigma); real
normal_id_glm_lpdf; (vector y | matrix x, vector alpha, vector beta, vector sigma); real
normal_id_glm_lpdf; (vector y | row_vector x, real alpha, vector beta, real sigma); real
normal_id_glm_lpdf; (vector y | row_vector x, vector alpha, vector beta, real sigma); real
normal_id_glm_lupdf; (real y | matrix x, real alpha, vector beta, real sigma); real
normal_id_glm_lupdf; (real y | matrix x, real alpha, vector beta, vector sigma); real
normal_id_glm_lupdf; (real y | matrix x, vector alpha, vector beta, real sigma); real
normal_id_glm_lupdf; (real y | matrix x, vector alpha, vector beta, vector sigma); real
normal_id_glm_lupdf; (vector y | matrix x, real alpha, vector beta, real sigma); real
normal_id_glm_lupdf; (vector y | matrix x, real alpha, vector beta, vector sigma); real
normal_id_glm_lupdf; (vector y | matrix x, vector alpha, vector beta, real sigma); real
normal_id_glm_lupdf; (vector y | matrix x, vector alpha, vector beta, vector sigma); real
normal_id_glm_lupdf; (vector y | row_vector x, real alpha, vector beta, real sigma); real
normal_id_glm_lupdf; (vector y | row_vector x, vector alpha, vector beta, real sigma); real
normal_lccdf; (reals y | reals mu, reals sigma); real
normal_lcdf; (reals y | reals mu, reals sigma); real
normal_lpdf; (reals y | reals mu, reals sigma); real
normal_lupdf; (reals y | reals mu, reals sigma); real
normal_rng; (reals mu, reals sigma); R
not_a_number; (); real
num_elements; (array[] T x); int
num_elements; (complex_matrix x); int
num_elements; (complex_row_vector x); int
num_elements; (complex_vector x); int
num_elements; (matrix x); int
num_elements; (row_vector x); int
num_elements; (vector x); int
ode_adams; (function ode, vector initial_state, real initial_time, array[] real times, ...); array[] vector
ode_adams_tol; (function ode, vector initial_state, real initial_time, array[] real times, data real rel_tol, data real abs_tol, int max_num_steps, ...); array[] vector
ode_adjoint_tol_ctl; (function ode, vector initial_state, real initial_time, array[] real times, data real rel_tol_forward, data vector abs_tol_forward, data real rel_tol_backward, data vector abs_tol_backward, data real rel_tol_quadrature, data real abs_tol_qudrature, int max_num_steps, int num_steps_between_checkpoints, int interpolation_polynomial, int solver_forward, int solver_backward,...); array[] vector
ode_bdf; (function ode, vector initial_state, real initial_time, array[] real times, ...); array[] vector
ode_bdf_tol; (function ode, vector initial_state, real initial_time, array[] real times, data real rel_tol, data real abs_tol, int max_num_steps, ...); array[] vector
ode_ckrk; (function ode, vector initial_state, real initial_time, array[] real times, ...); array[] vector
ode_ckrk_tol; (function ode, vector initial_state, real initial_time, array[] real times, data real rel_tol, data real abs_tol, int max_num_steps, ...); array[] vector
ode_rk45; (function ode, vector initial_state, real initial_time, array[] real times, ...); array[] vector
ode_rk45_tol; (function ode, vector initial_state, real initial_time, array[] real times, data real rel_tol, data real abs_tol, int max_num_steps, ...); array[] vector
one_hot_array; (int n, int k); array[] real
one_hot_int_array; (int n, int k); array[] int
one_hot_row_vector; (int n, int k); row_vector
one_hot_vector; (int K, int k); vector
ones_array; (int n); array[] real
ones_int_array; (int n); array[] int
ones_row_vector; (int n); row_vector
ones_vector; (int n); vector
operator!; (int x); int
operator!; (real x); int
operator!=; (complex x, complex y); int
operator!=; (int x, int y); int
operator!=; (real x, real y); int
operator%/%; (int x, int y); int
operator%; (int x, int y); int
operator&&; (int x, int y); int
operator&&; (real x, real y); int
operator'; (complex_matrix x); complex_matrix
operator'; (complex_row_vector x); complex_vector
operator'; (complex_vector x); complex_row_vector
operator'; (matrix x); matrix
operator'; (row_vector x); vector
operator'; (vector x); row_vector
operator*; (complex x, complex y); complex
operator*; (complex x, complex_matrix y); complex_matrix
operator*; (complex x, complex_row_vector y); complex_row_vector
operator*; (complex x, complex_vector y); complex_vector
operator*; (complex_matrix x, complex y); complex_matrix
operator*; (complex_matrix x, complex_matrix y); complex_matrix
operator*; (complex_matrix x, complex_vector y); complex_vector
operator*; (complex_row_vector x, complex y); complex_row_vector
operator*; (complex_row_vector x, complex_matrix y); complex_row_vector
operator*; (complex_row_vector x, complex_vector y); complex
operator*; (complex_vector x, complex y); complex_vector
operator*; (complex_vector x, complex_row_vector y); complex_matrix
operator*; (int x, int y); int
operator*; (matrix x, matrix y); matrix
operator*; (matrix x, real y); matrix
operator*; (matrix x, vector y); vector
operator*; (real x, matrix y); matrix
operator*; (real x, real y); real
operator*; (real x, row_vector y); row_vector
operator*; (real x, vector y); vector
operator*; (row_vector x, matrix y); row_vector
operator*; (row_vector x, real y); row_vector
operator*; (row_vector x, vector y); real
operator*; (vector x, real y); vector
operator*; (vector x, row_vector y); matrix
operator*=; (T x, U y); void
operator*=; (complex x, complex y); void
operator+; (complex x, complex y); complex
operator+; (complex x, complex_matrix y); complex_matrix
operator+; (complex x, complex_row_vector y); complex_row_vector
operator+; (complex x, complex_vector y); complex_vector
operator+; (complex z); complex
operator+; (complex_matrix x, complex y); complex_matrix
operator+; (complex_matrix x, complex_matrix y); complex_matrix
operator+; (complex_row_vector x, complex y); complex_row_vector
operator+; (complex_row_vector x, complex_row_vector y); complex_row_vector
operator+; (complex_vector x, complex y); complex_vector
operator+; (complex_vector x, complex_vector y); complex_vector
operator+; (int x); int
operator+; (int x, int y); int
operator+; (matrix x, matrix y); matrix
operator+; (matrix x, real y); matrix
operator+; (real x); real
operator+; (real x, matrix y); matrix
operator+; (real x, real y); real
operator+; (real x, row_vector y); row_vector
operator+; (real x, vector y); vector
operator+; (row_vector x, real y); row_vector
operator+; (row_vector x, row_vector y); row_vector
operator+; (vector x, real y); vector
operator+; (vector x, vector y); vector
operator+=; (T x, U y); void
operator+=; (complex x, complex y); void
operator-; (T x); T
operator-; (complex x, complex y); complex
operator-; (complex x, complex_matrix y); complex_matrix
operator-; (complex x, complex_row_vector y); complex_row_vector
operator-; (complex x, complex_vector y); complex_vector
operator-; (complex z); complex
operator-; (complex_matrix x); complex_matrix
operator-; (complex_matrix x, complex y); complex_matrix
operator-; (complex_matrix x, complex_matrix y); complex_matrix
operator-; (complex_row_vector x); complex_row_vector
operator-; (complex_row_vector x, complex y); complex_row_vector
operator-; (complex_row_vector x, complex_row_vector y); complex_row_vector
operator-; (complex_vector x); complex_vector
operator-; (complex_vector x, complex y); complex_vector
operator-; (complex_vector x, complex_vector y); complex_vector
operator-; (int x); int
operator-; (int x, int y); int
operator-; (matrix x); matrix
operator-; (matrix x, matrix y); matrix
operator-; (matrix x, real y); matrix
operator-; (real x); real
operator-; (real x, matrix y); matrix
operator-; (real x, real y); real
operator-; (real x, row_vector y); row_vector
operator-; (real x, vector y); vector
operator-; (row_vector x); row_vector
operator-; (row_vector x, real y); row_vector
operator-; (row_vector x, row_vector y); row_vector
operator-; (vector x); vector
operator-; (vector x, real y); vector
operator-; (vector x, vector y); vector
operator-=; (T x, U y); void
operator-=; (complex x, complex y); void
operator.*; (complex_matrix x, complex_matrix y); complex_matrix
operator.*; (complex_row_vector x, complex_row_vector y); complex_row_vector
operator.*; (complex_vector x, complex_vector y); complex_vector
operator.*; (matrix x, matrix y); matrix
operator.*; (row_vector x, row_vector y); row_vector
operator.*; (vector x, vector y); vector
operator.*=; (T x, U y); void
operator./; (complex x, complex_matrix y); complex_matrix
operator./; (complex x, complex_row_vector y); complex_row_vector
operator./; (complex x, complex_vector y); complex_vector
operator./; (complex_matrix x, complex y); complex_matrix
operator./; (complex_matrix x, complex_matrix y); complex_matrix
operator./; (complex_row_vector x, complex y); complex_row_vector
operator./; (complex_row_vector x, complex_row_vector y); complex_row_vector
operator./; (complex_vector x, complex y); complex_vector
operator./; (complex_vector x, complex_vector y); complex_vector
operator./; (matrix x, matrix y); matrix
operator./; (matrix x, real y); matrix
operator./; (real x, matrix y); matrix
operator./; (real x, row_vector y); row_vector
operator./; (real x, vector y); vector
operator./; (row_vector x, real y); row_vector
operator./; (row_vector x, row_vector y); row_vector
operator./; (vector x, real y); vector
operator./; (vector x, vector y); vector
operator./=; (T x, U y); void
operator.^; ( complex_matrix x, complex y); complex_matrix
operator.^; ( complex_matrix x, complex_matrix y); complex_matrix
operator.^; (complex x, complex_matrix y); complex_matrix
operator.^; (complex x, complex_row_vector y); complex_row_vector
operator.^; (complex x, complex_vector y); complex_vector
operator.^; (complex_row_vector x, complex y); complex_row_vector
operator.^; (complex_row_vector x, complex_row_vector y); complex_row_vector
operator.^; (complex_vector x, complex y); complex_vector
operator.^; (complex_vector x, complex_vector y); complex_vector
operator.^; (matrix x, matrix y); matrix
operator.^; (matrix x, real y); matrix
operator.^; (real x, matrix y); matrix
operator.^; (real x, row_vector y); row_vector
operator.^; (real x, vector y); vector
operator.^; (row_vector x, real y); row_vector
operator.^; (row_vector x, row_vector y); row_vector
operator.^; (vector x, real y); vector
operator.^; (vector x, vector y); vector
operator/; (complex x, complex y); complex
operator/; (complex_matrix B, complex_matrix A); complex_matrix
operator/; (complex_matrix x, complex y); complex_matrix
operator/; (complex_row_vector b, complex_matrix A); complex_row_vector
operator/; (complex_row_vector x, complex y); complex_row_vector
operator/; (complex_vector x, complex y); complex_vector
operator/; (int x, int y); int
operator/; (matrix B, matrix A); matrix
operator/; (matrix x, real y); matrix
operator/; (real x, real y); real
operator/; (row_vector b, matrix A); row_vector
operator/; (row_vector x, real y); row_vector
operator/; (vector x, real y); vector
operator/=; (T x, U y); void
operator/=; (complex x, complex y); void
operator<; (int x, int y); int
operator<; (real x, real y); int
operator<=; (int x, int y); int
operator<=; (real x, real y); int
operator=; (complex x, complex y); void
operator==; (complex x, complex y); int
operator==; (int x, int y); int
operator==; (real x, real y); int
operator>; (int x, int y); int
operator>; (real x, real y); int
operator>=; (int x, int y); int
operator>=; (real x, real y); int
operator\; (matrix A, matrix B); matrix
operator\; (matrix A, vector b); vector
operator^; (complex x, complex y); complex
operator^; (real x, real y); real
operator||; (int x, int y); int
operator||; (real x, real y); int
ordered_logistic; ~; real
ordered_logistic_glm_lpmf; (array[] int y | matrix x, vector beta, vector c); real
ordered_logistic_glm_lpmf; (array[] int y | row_vector x, vector beta, vector c); real
ordered_logistic_glm_lpmf; (int y | matrix x, vector beta, vector c); real
ordered_logistic_glm_lpmf; (int y | row_vector x, vector beta, vector c); real
ordered_logistic_glm_lupmf; (array[] int y | matrix x, vector beta, vector c); real
ordered_logistic_glm_lupmf; (array[] int y | row_vector x, vector beta, vector c); real
ordered_logistic_glm_lupmf; (int y | matrix x, vector beta, vector c); real
ordered_logistic_glm_lupmf; (int y | row_vector x, vector beta, vector c); real
ordered_logistic_lpmf; (ints k | vector eta, vectors c); real
ordered_logistic_lupmf; (ints k | vector eta, vectors c); real
ordered_logistic_rng; (real eta, vector c); int
ordered_probit; ~; real
ordered_probit_lpmf; (ints k | real eta, vectors c); real
ordered_probit_lpmf; (ints k | vector eta, vectors c); real
ordered_probit_lupmf; (ints k | real eta, vectors c); real
ordered_probit_lupmf; (ints k | vector eta, vectors c); real
ordered_probit_rng; (real eta, vector c); int
owens_t; (T1 x, T2 y); R
owens_t; (real h, real a); real
pareto; ~; real
pareto_cdf; (reals y, reals y_min, reals alpha); real
pareto_lccdf; (reals y | reals y_min, reals alpha); real
pareto_lcdf; (reals y | reals y_min, reals alpha); real
pareto_lpdf; (reals y | reals y_min, reals alpha); real
pareto_lupdf; (reals y | reals y_min, reals alpha); real
pareto_rng; (reals y_min, reals alpha); R
pareto_type_2; ~; real
pareto_type_2_cdf; (reals y, reals mu, reals lambda, reals alpha); real
pareto_type_2_lccdf; (reals y | reals mu, reals lambda, reals alpha); real
pareto_type_2_lcdf; (reals y | reals mu, reals lambda, reals alpha); real
pareto_type_2_lpdf; (reals y | reals mu, reals lambda, reals alpha); real
pareto_type_2_lupdf; (reals y | reals mu, reals lambda, reals alpha); real
pareto_type_2_rng; (reals mu, reals lambda, reals alpha); R
pi; (); real
poisson; ~; real
poisson_cdf; (ints n, reals lambda); real
poisson_lccdf; (ints n | reals lambda); real
poisson_lcdf; (ints n | reals lambda); real
poisson_log; ~; real
poisson_log_glm; ~; real
poisson_log_glm_lpmf; (array[] int y | matrix x, real alpha, vector beta); real
poisson_log_glm_lpmf; (array[] int y | matrix x, vector alpha, vector beta); real
poisson_log_glm_lpmf; (array[] int y | row_vector x, real alpha, vector beta); real
poisson_log_glm_lpmf; (array[] int y | row_vector x, vector alpha, vector beta); real
poisson_log_glm_lpmf; (int y | matrix x, real alpha, vector beta); real
poisson_log_glm_lpmf; (int y | matrix x, vector alpha, vector beta); real
poisson_log_glm_lupmf; (array[] int y | matrix x, real alpha, vector beta); real
poisson_log_glm_lupmf; (array[] int y | matrix x, vector alpha, vector beta); real
poisson_log_glm_lupmf; (array[] int y | row_vector x, real alpha, vector beta); real
poisson_log_glm_lupmf; (array[] int y | row_vector x, vector alpha, vector beta); real
poisson_log_glm_lupmf; (int y | matrix x, real alpha, vector beta); real
poisson_log_glm_lupmf; (int y | matrix x, vector alpha, vector beta); real
poisson_log_lpmf; (ints n | reals alpha); real
poisson_log_lupmf; (ints n | reals alpha); real
poisson_log_rng; (reals alpha); R
poisson_lpmf; (ints n | reals lambda); real
poisson_lupmf; (ints n | reals lambda); real
poisson_rng; (reals lambda); R
polar; (real r, real theta); complex
positive_infinity; (); real
pow; (T1 x, T2 y); R
pow; (T1 x, T2 y); Z
pow; (complex x, complex y); complex
pow; (real x, real y); real
print; (T1 x1,..., TN xN); void
prod; (array[] int x); real
prod; (array[] real x); real
prod; (complex_matrix x); complex
prod; (complex_row_vector x); complex
prod; (complex_vector x); complex
prod; (matrix x); real
prod; (row_vector x); real
prod; (vector x); real
proj; (complex z); complex
qr_Q; (matrix A); matrix
qr_R; (matrix A); matrix
qr_thin_Q; (matrix A); matrix
qr_thin_R; (matrix A); matrix
quad_form; (matrix A, matrix B); matrix
quad_form; (matrix A, vector B); real
quad_form_diag; (matrix m, row_vector rv); matrix
quad_form_diag; (matrix m, vector v); matrix
quad_form_sym; (matrix A, matrix B); matrix
quad_form_sym; (matrix A, vector B); real
quantile; (data array[] real x, data array[] real p); array[] real
quantile; (data array[] real x, data real p); real
quantile; (data row_vector x, data array[] real p); array[] real
quantile; (data row_vector x, data real p); real
quantile; (data vector x, data array[] real p); array[] real
quantile; (data vector x, data real p); real
rank; (array[] int v, int s); int
rank; (array[] real v, int s); int
rank; (row_vector v, int s); int
rank; (vector v, int s); int
rayleigh; ~; real
rayleigh_cdf; (real y, real sigma); real
rayleigh_lccdf; (real y | real sigma); real
rayleigh_lcdf; (real y | real sigma); real
rayleigh_lpdf; (reals y | reals sigma); real
rayleigh_lupdf; (reals y | reals sigma); real
rayleigh_rng; (reals sigma); R
reduce_sum; (F f, array[] T x, int grainsize, T1 s1, T2 s2, ...); real
reject; (T1 x1,..., TN xN); void
rep_array; (T x, int k, int m, int n); array[,,] T
rep_array; (T x, int m, int n); array[,] T
rep_array; (T x, int n); array[] T
rep_matrix; (complex z, int m, int n); complex_matrix
rep_matrix; (complex_row_vector rv, int m); complex_matrix
rep_matrix; (complex_vector v, int n); complex_matrix
rep_matrix; (real x, int m, int n); matrix
rep_matrix; (row_vector rv, int m); matrix
rep_matrix; (vector v, int n); matrix
rep_row_vector; (complex z, int n); complex_row_vector
rep_row_vector; (real x, int n); row_vector
rep_vector; (complex z, int m); complex_vector
rep_vector; (real x, int m); vector
reverse; (array[] T v); array[] T
reverse; (complex_row_vector v); complex_row_vector
reverse; (complex_vector v); complex_vector
reverse; (row_vector v); row_vector
reverse; (vector v); vector
rising_factorial; (T1 x, T2 y); R
rising_factorial; (real x, int n); real
round; (T x); R
row; (complex_matrix x, int m); complex_row_vector
row; (matrix x, int m); row_vector
rows; (complex_matrix x); int
rows; (complex_row_vector x); int
rows; (complex_vector x); int
rows; (matrix x); int
rows; (row_vector x); int
rows; (vector x); int
rows_dot_product; (complex_matrix x, complex_matrix y); complex_vector
rows_dot_product; (complex_row_vector x, complex_row_vector y); complex_vector
rows_dot_product; (complex_vector x, complex_vector y); complex_vector
rows_dot_product; (matrix x, matrix y); vector
rows_dot_product; (row_vector x, row_vector y); vector
rows_dot_product; (vector x, vector y); vector
rows_dot_self; (complex_matrix x); complex_vector
rows_dot_self; (complex_row_vector x); complex_vector
rows_dot_self; (complex_vector x); complex_vector
rows_dot_self; (matrix x); vector
rows_dot_self; (row_vector x); vector
rows_dot_self; (vector x); vector
scale_matrix_exp_multiply; (real t, matrix A, matrix B); matrix
scaled_inv_chi_square; ~; real
scaled_inv_chi_square_cdf; (reals y, reals nu, reals sigma); real
scaled_inv_chi_square_lccdf; (reals y | reals nu, reals sigma); real
scaled_inv_chi_square_lcdf; (reals y | reals nu, reals sigma); real
scaled_inv_chi_square_lpdf; (reals y | reals nu, reals sigma); real
scaled_inv_chi_square_lupdf; (reals y | reals nu, reals sigma); real
scaled_inv_chi_square_rng; (reals nu, reals sigma); R
sd; (array[] real x); real
sd; (matrix x); real
sd; (row_vector x); real
sd; (vector x); real
segment; (array[] T sv, int i, int n); array[] T
segment; (complex_row_vector rv, int i, int n); complex_row_vector
segment; (complex_vector v, int i, int n); complex_vector
segment; (row_vector rv, int i, int n); row_vector
segment; (vector v, int i, int n); vector
sin; (T x); R
sin; (complex z); complex
singular_values; (complex_matrix A); vector
singular_values; (matrix A); vector
sinh; (T x); R
sinh; (complex z); complex
size; (array[] T x); int
size; (complex_row_vector x); int
size; (complex_vector x); int
size; (int x); int
size; (matrix x); int
size; (real x); int
size; (row_vector x); int
size; (vector x); int
skew_double_exponential; ~; real
skew_double_exponential_cdf; (reals y, reals mu, reals sigma, reals tau); real
skew_double_exponential_lccdf; (reals y | reals mu, reals sigma, reals tau); real
skew_double_exponential_lcdf; (reals y | reals mu, reals sigma, reals tau); real
skew_double_exponential_lpdf; (reals y | reals mu, reals sigma, reals tau); real
skew_double_exponential_lupdf; (reals y | reals mu, reals sigma, reals tau); real
skew_double_exponential_rng; (reals mu, reals sigma); R
skew_normal; ~; real
skew_normal_cdf; (reals y, reals xi, reals omega, reals alpha); real
skew_normal_lccdf; (reals y | reals xi, reals omega, reals alpha); real
skew_normal_lcdf; (reals y | reals xi, reals omega, reals alpha); real
skew_normal_lpdf; (reals y | reals xi, reals omega, reals alpha); real
skew_normal_lupdf; (reals y | reals xi, reals omega, reals alpha); real
skew_normal_rng; (reals xi, reals omega, real alpha); R
softmax; (vector x); vector
sort_asc; (array[] int v); array[] int
sort_asc; (array[] real v); array[] real
sort_asc; (row_vector v); row_vector
sort_asc; (vector v); vector
sort_desc; (array[] int v); array[] int
sort_desc; (array[] real v); array[] real
sort_desc; (row_vector v); row_vector
sort_desc; (vector v); vector
sort_indices_asc; (array[] int v); array[] int
sort_indices_asc; (array[] real v); array[] int
sort_indices_asc; (row_vector v); array[] int
sort_indices_asc; (vector v); array[] int
sort_indices_desc; (array[] int v); array[] int
sort_indices_desc; (array[] real v); array[] int
sort_indices_desc; (row_vector v); array[] int
sort_indices_desc; (vector v); array[] int
sqrt2; (); real
sqrt; (T x); R
sqrt; (complex x); complex
square; (T x); R
squared_distance; (row_vector x, row_vector y); real
squared_distance; (row_vector x, vector y); real
squared_distance; (vector x, row_vector y); real
squared_distance; (vector x, vector y); real
std_normal; ~; real
std_normal_cdf; (reals y); real
std_normal_lccdf; (reals y); real
std_normal_lcdf; (reals y); real
std_normal_log_qf; (T x); R
std_normal_lpdf; (reals y); real
std_normal_lupdf; (reals y); real
std_normal_qf; (T x); R
std_normal_rng; (); real
step; (real x); real
student_t; ~; real
student_t_cdf; (reals y, reals nu, reals mu, reals sigma); real
student_t_lccdf; (reals y | reals nu, reals mu, reals sigma); real
student_t_lcdf; (reals y | reals nu, reals mu, reals sigma); real
student_t_lpdf; (reals y | reals nu, reals mu, reals sigma); real
student_t_lupdf; (reals y | reals nu, reals mu, reals sigma); real
student_t_rng; (reals nu, reals mu, reals sigma); R
sub_col; (complex_matrix x, int i, int j, int n_rows); complex_vector
sub_col; (matrix x, int i, int j, int n_rows); vector
sub_row; (complex_matrix x, int i, int j, int n_cols); complex_row_vector
sub_row; (matrix x, int i, int j, int n_cols); row_vector
sum; (array[] complex x); complex
sum; (array[] int x); int
sum; (array[] real x); real
sum; (complex_matrix x); complex
sum; (complex_row_vector x); complex
sum; (complex_vector x); complex
sum; (matrix x); real
sum; (row_vector x); real
sum; (vector x); real
svd_U; (complex_matrix A); complex_matrix
svd_U; (matrix A); matrix
svd_V; (complex_matrix A); complex_matrix
svd_V; (matrix A); matrix
symmetrize_from_lower_tri; (complex_matrix A); complex_matrix
symmetrize_from_lower_tri; (matrix A); matrix
tail; (array[] T sv, int n); array[] T
tail; (complex_row_vector rv, int n); complex_row_vector
tail; (complex_vector v, int n); complex_vector
tail; (row_vector rv, int n); row_vector
tail; (vector v, int n); vector
tan; (T x); R
tan; (complex z); complex
tanh; (T x); R
tanh; (complex z); complex
target; (); real
tcrossprod; (matrix x); matrix
tgamma; (T x); R
to_array_1d; (array[...] complex a); array[] complex
to_array_1d; (array[...] int a); array[] int
to_array_1d; (array[...] real a); array[] real
to_array_1d; (complex_matrix m); array[] complex
to_array_1d; (complex_row_vector v); array[] complex
to_array_1d; (complex_vector v); array[] real
to_array_1d; (matrix m); array[] real
to_array_1d; (row_vector v); array[] real
to_array_1d; (vector v); array[] real
to_array_2d; (complex_matrix m); array[,] real
to_array_2d; (matrix m); array[,] real
to_complex; (); complex
to_complex; (T1 re, T2 im); Z
to_complex; (real re); complex
to_complex; (real re, real im); complex
to_int; (data real x); int
to_matrix; (array[,] complex a ); complex_matrix
to_matrix; (array[,] int a); matrix
to_matrix; (array[,] real a); matrix
to_matrix; (array[] complex a, int m, int n); complex_matrix
to_matrix; (array[] complex a, int m, int n, int col_major); complex_matrix
to_matrix; (array[] complex_row_vector vs); complex_matrix
to_matrix; (array[] int a, int m, int n); matrix
to_matrix; (array[] int a, int m, int n, int col_major); matrix
to_matrix; (array[] real a, int m, int n); matrix
to_matrix; (array[] real a, int m, int n, int col_major); matrix
to_matrix; (array[] row_vector vs); matrix
to_matrix; (complex_matrix A, int m, int n, int col_major); complex_matrix
to_matrix; (complex_matrix M, int m, int n); complex_matrix
to_matrix; (complex_matrix m); complex_matrix
to_matrix; (complex_row_vector v); complex_matrix
to_matrix; (complex_row_vector v, int m, int n); complex_matrix
to_matrix; (complex_row_vector v, int m, int n, int col_major); complex_matrix
to_matrix; (complex_vector v); complex_matrix
to_matrix; (complex_vector v, int m, int n); complex_matrix
to_matrix; (complex_vector v, int m, int n, int col_major); complex_matrix
to_matrix; (matrix A, int m, int n, int col_major); matrix
to_matrix; (matrix M, int m, int n); matrix
to_matrix; (matrix m); matrix
to_matrix; (row_vector v); matrix
to_matrix; (row_vector v, int m, int n); matrix
to_matrix; (row_vector v, int m, int n, int col_major); matrix
to_matrix; (vector v); matrix
to_matrix; (vector v, int m, int n); matrix
to_matrix; (vector v, int m, int n, int col_major); matrix
to_row_vector; (array[] complex a); complex_row_vector
to_row_vector; (array[] int a); row_vector
to_row_vector; (array[] real a); row_vector
to_row_vector; (complex_matrix m); complex_row_vector
to_row_vector; (complex_row_vector v); complex_row_vector
to_row_vector; (complex_vector v); complex_row_vector
to_row_vector; (matrix m); row_vector
to_row_vector; (row_vector v); row_vector
to_row_vector; (vector v); row_vector
to_vector; (array[] complex a); complex_vector
to_vector; (array[] int a); vector
to_vector; (array[] real a); vector
to_vector; (complex_matrix m); complex_vector
to_vector; (complex_row_vector v); complex_vector
to_vector; (complex_vector v); complex_vector
to_vector; (matrix m); vector
to_vector; (row_vector v); vector
to_vector; (vector v); vector
trace; (complex_matrix A); complex
trace; (matrix A); real
trace_gen_quad_form; (matrix D,matrix A, matrix B); real
trace_quad_form; (matrix A, matrix B); real
trigamma; (T x); R
trunc; (T x); R
uniform; ~; real
uniform_cdf; (reals y, reals alpha, reals beta); real
uniform_lccdf; (reals y | reals alpha, reals beta); real
uniform_lcdf; (reals y | reals alpha, reals beta); real
uniform_lpdf; (reals y | reals alpha, reals beta); real
uniform_lupdf; (reals y | reals alpha, reals beta); real
uniform_rng; (reals alpha, reals beta); R
uniform_simplex; (int n); vector
variance; (array[] real x); real
variance; (matrix x); real
variance; (row_vector x); real
variance; (vector x); real
von_mises; ~; real
von_mises_cdf; (reals y | reals mu, reals kappa); real
von_mises_lccdf; (reals y | reals mu, reals kappa); real
von_mises_lcdf; (reals y | reals mu, reals kappa); real
von_mises_lpdf; (reals y | reals mu, reals kappa); real
von_mises_lupdf; (reals y | reals mu, reals kappa); real
von_mises_rng; (reals mu, reals kappa); R
weibull; ~; real
weibull_cdf; (reals y, reals alpha, reals sigma); real
weibull_lccdf; (reals y | reals alpha, reals sigma); real
weibull_lcdf; (reals y | reals alpha, reals sigma); real
weibull_lpdf; (reals y | reals alpha, reals sigma); real
weibull_lupdf; (reals y | reals alpha, reals sigma); real
weibull_rng; (reals alpha, reals sigma); R
wiener; ~; real
wiener_lpdf; (reals y | reals alpha, reals tau, reals beta, reals delta); real
wiener_lupdf; (reals y | reals alpha, reals tau, reals beta, reals delta); real
wishart; ~; real
wishart_cholesky_lpdf; (matrix L_W | real nu, matrix L_S); real
wishart_cholesky_lupdf; (matrix L_W | real nu, matrix L_S); real
wishart_cholesky_rng; (real nu, matrix L_S); matrix
wishart_lpdf; (matrix W | real nu, matrix Sigma); real
